"","Stationnumber","weekday","hour","Rideoutminusin"
"430","30002","Tue",12,-0.1
"431","30002","Tue",13,-0.526315789473684
"432","30002","Tue",14,0.0526315789473684
"433","30002","Tue",15,0.3
"434","30002","Tue",16,0.379310344827586
"435","30002","Tue",17,0.407407407407407
"436","30002","Tue",18,0.684210526315789
"437","30002","Tue",19,-0.2
"438","30002","Tue",20,-0.125
"439","30002","Tue",21,-0.222222222222222
"440","30002","Tue",22,0.75
"441","30002","Tue",23,-1.5
"442","30002","Wed",0,1
"443","30002","Wed",1,0.25
"444","30002","Wed",2,-1
"445","30002","Wed",4,-1
"446","30002","Wed",6,-0.785714285714286
"447","30002","Wed",7,-1.125
"448","30002","Wed",8,0.4
"449","30002","Wed",9,-1.04
"450","30002","Wed",10,-0.136363636363636
"451","30002","Wed",11,0.727272727272727
"452","30002","Wed",12,0.0384615384615385
"453","30002","Wed",13,-0.12
"454","30002","Wed",14,-0.28
"455","30002","Wed",15,-0.772727272727273
"456","30002","Wed",16,0.76
"457","30002","Wed",17,0.6
"458","30002","Wed",18,0.6875
"459","30002","Wed",19,0.142857142857143
"460","30002","Wed",20,0.538461538461538
"461","30002","Wed",21,0
"462","30002","Wed",22,0.333333333333333
"463","30002","Wed",23,0.7
"464","30003","Fri",0,-1
"465","30003","Fri",1,-0.5
"466","30003","Fri",4,-1
"467","30003","Fri",7,1
"468","30003","Fri",8,1
"469","30003","Fri",9,1
"470","30003","Fri",10,0
"471","30003","Fri",11,0
"472","30003","Fri",12,0
"473","30003","Fri",13,-0.2
"474","30003","Fri",14,0.428571428571429
"475","30003","Fri",15,-0.25
"476","30003","Fri",16,-0.666666666666667
"477","30003","Fri",17,-0.4
"478","30003","Fri",18,-0.3
"479","30003","Fri",19,-1
"480","30003","Fri",20,0.5
"481","30003","Fri",21,-1.5
"482","30003","Fri",22,-1
"483","30003","Mon",0,-1
"484","30003","Mon",7,1
"485","30003","Mon",8,0.9
"486","30003","Mon",9,1
"487","30003","Mon",10,-2
"488","30003","Mon",11,1
"489","30003","Mon",12,0
"490","30003","Mon",13,0
"491","30003","Mon",14,0.571428571428571
"492","30003","Mon",15,-0.333333333333333
"493","30003","Mon",16,0
"494","30003","Mon",17,-0.909090909090909
"495","30003","Mon",18,-0.5
"496","30003","Mon",19,-1
"497","30003","Mon",20,-1
"498","30003","Mon",23,-2
"499","30003","Sat",0,-1
"500","30003","Sat",4,-1
"501","30003","Sat",7,-1
"502","30003","Sat",8,-0.333333333333333
"503","30003","Sat",9,1
"504","30003","Sat",10,0.2
"505","30003","Sat",12,0.666666666666667
"506","30003","Sat",13,0.75
"507","30003","Sat",14,1.27272727272727
"508","30003","Sat",15,0.5
"509","30003","Sat",16,-0.857142857142857
"510","30003","Sat",17,0
"511","30003","Sat",18,0.8
"512","30003","Sat",19,-0.2
"513","30003","Sat",20,0.75
"514","30003","Sat",21,-1
"515","30003","Sat",22,-1
"516","30003","Sat",23,-1
"517","30003","Sun",0,-1
"518","30003","Sun",1,-2
"519","30003","Sun",2,0
"520","30003","Sun",3,-1
"521","30003","Sun",8,-1
"522","30003","Sun",9,1.5
"523","30003","Sun",10,1
"524","30003","Sun",11,1
"525","30003","Sun",12,-0.2
"526","30003","Sun",13,0.375
"527","30003","Sun",14,1
"528","30003","Sun",15,-1.33333333333333
"529","30003","Sun",16,-0.375
"530","30003","Sun",17,-1
"531","30003","Sun",18,-0.333333333333333
"532","30003","Sun",19,-0.2
"533","30003","Sun",20,0
"534","30003","Sun",22,-4
"535","30003","Thu",0,-1
"536","30003","Thu",1,-1
"537","30003","Thu",6,-1
"538","30003","Thu",7,1.125
"539","30003","Thu",8,0.6875
"540","30003","Thu",9,0.666666666666667
"541","30003","Thu",10,0.5
"542","30003","Thu",11,0.333333333333333
"543","30003","Thu",12,0
"544","30003","Thu",13,0.25
"545","30003","Thu",14,-0.285714285714286
"546","30003","Thu",15,-1
"547","30003","Thu",16,0.5
"548","30003","Thu",17,-0.909090909090909
"549","30003","Thu",18,-1.14285714285714
"550","30003","Thu",19,0.2
"551","30003","Thu",20,-1
"552","30003","Thu",21,-1
"553","30003","Tue",0,-1
"554","30003","Tue",7,0.857142857142857
"555","30003","Tue",8,0.583333333333333
"556","30003","Tue",9,1
"557","30003","Tue",10,1
"558","30003","Tue",11,0.5
"559","30003","Tue",12,-1
"560","30003","Tue",13,-1
"561","30003","Tue",14,0.25
"562","30003","Tue",15,1
"563","30003","Tue",16,-0.875
"564","30003","Tue",17,-0.785714285714286
"565","30003","Tue",18,-1.6
"566","30003","Tue",19,-0.5
"567","30003","Tue",20,-1
"568","30003","Tue",22,-0.5
"569","30003","Wed",0,-1
"570","30003","Wed",7,1
"571","30003","Wed",8,1.3
"572","30003","Wed",9,1
"573","30003","Wed",10,0.333333333333333
"574","30003","Wed",11,0
"575","30003","Wed",12,-0.333333333333333
"576","30003","Wed",13,1
"577","30003","Wed",14,0.8125
"578","30003","Wed",15,0
"579","30003","Wed",16,-1.4
"580","30003","Wed",17,-1.23076923076923
"581","30003","Wed",18,-1.2
"582","30003","Wed",19,-1
"583","30003","Wed",20,-1
"584","30003","Wed",22,-2
"585","30003","Wed",23,-1
"586","30004","Fri",0,0.0833333333333333
"587","30004","Fri",1,1.2
"588","30004","Fri",2,1
"589","30004","Fri",5,-0.142857142857143
"590","30004","Fri",6,0
"591","30004","Fri",7,0.36
"592","30004","Fri",8,-0.5
"593","30004","Fri",9,0.947368421052632
"594","30004","Fri",10,0.0833333333333333
"595","30004","Fri",11,-0.0344827586206897
"596","30004","Fri",12,-0.304347826086957
"597","30004","Fri",13,0.434782608695652
"598","30004","Fri",14,1.125
"599","30004","Fri",15,0.5
"600","30004","Fri",16,0
"601","30004","Fri",17,-0.0434782608695652
"602","30004","Fri",18,-0.592592592592593
"603","30004","Fri",19,-0.157894736842105
"604","30004","Fri",20,0.588235294117647
"605","30004","Fri",21,0
"606","30004","Fri",22,1.23529411764706
"607","30004","Fri",23,-0.111111111111111
"608","30004","Mon",0,0.333333333333333
"609","30004","Mon",1,0.909090909090909
"610","30004","Mon",2,0.857142857142857
"611","30004","Mon",5,-0.5
"612","30004","Mon",6,-0.333333333333333
"613","30004","Mon",7,0.576923076923077
"614","30004","Mon",8,-0.269230769230769
"615","30004","Mon",9,1.15
"616","30004","Mon",10,-0.235294117647059
"617","30004","Mon",11,0.214285714285714
"618","30004","Mon",12,-0.285714285714286
"619","30004","Mon",13,-0.4375
"620","30004","Mon",14,0.272727272727273
"621","30004","Mon",15,-0.269230769230769
"622","30004","Mon",16,0.3
"623","30004","Mon",17,0.178571428571429
"624","30004","Mon",18,0.275862068965517
"625","30004","Mon",19,-0.217391304347826
"626","30004","Mon",20,0.380952380952381
"627","30004","Mon",21,1.41176470588235
"628","30004","Mon",22,-0.533333333333333
"629","30004","Mon",23,-0.1
"630","30004","Sat",0,0.571428571428571
"631","30004","Sat",1,1.75
"632","30004","Sat",2,0.722222222222222
"633","30004","Sat",3,0.333333333333333
"634","30004","Sat",4,-1
"635","30004","Sat",5,-0.333333333333333
"636","30004","Sat",6,0.666666666666667
"637","30004","Sat",7,-0.444444444444444
"638","30004","Sat",8,-1.05263157894737
"639","30004","Sat",9,1.70833333333333
"640","30004","Sat",10,-0.25
"641","30004","Sat",11,0.884615384615385
"642","30004","Sat",12,1.5
"643","30004","Sat",13,-0.153846153846154
"644","30004","Sat",14,-0.272727272727273
"645","30004","Sat",15,-0.037037037037037
"646","30004","Sat",16,-0.185185185185185
"647","30004","Sat",17,-0.130434782608696
"648","30004","Sat",18,0.08
"649","30004","Sat",19,0.25
"650","30004","Sat",20,-1.35
"651","30004","Sat",21,-0.411764705882353
"652","30004","Sat",22,0.888888888888889
"653","30004","Sat",23,0.111111111111111
"654","30004","Sun",0,0.35
"655","30004","Sun",1,1.73684210526316
"656","30004","Sun",2,1.52380952380952
"657","30004","Sun",3,2.25
"658","30004","Sun",4,-0.5
"659","30004","Sun",5,0
"660","30004","Sun",6,0.25
"661","30004","Sun",7,0.625
"662","30004","Sun",8,0.909090909090909
"663","30004","Sun",9,0.0625
"664","30004","Sun",10,0.285714285714286
"665","30004","Sun",11,-0.45
"666","30004","Sun",12,-0.238095238095238
"667","30004","Sun",13,0.423076923076923
"668","30004","Sun",14,0.5
"669","30004","Sun",15,0.2
"670","30004","Sun",16,-0.4
"671","30004","Sun",17,-0.68
"672","30004","Sun",18,-1.08333333333333
"673","30004","Sun",19,-0.48
"674","30004","Sun",20,0.19047619047619
"675","30004","Sun",21,0.555555555555556
"676","30004","Sun",22,0.666666666666667
"677","30004","Sun",23,1
"678","30004","Thu",0,0
"679","30004","Thu",1,0.444444444444444
"680","30004","Thu",2,0.666666666666667
"681","30004","Thu",4,-1
"682","30004","Thu",5,1
"683","30004","Thu",6,0.142857142857143
"684","30004","Thu",7,0
"685","30004","Thu",8,-0.285714285714286
"686","30004","Thu",9,0.15
"687","30004","Thu",10,0.785714285714286
"688","30004","Thu",11,0.310344827586207
"689","30004","Thu",12,-0.15
"690","30004","Thu",13,0.521739130434783
"691","30004","Thu",14,-0.95
